object_id,public_caption,img_title,original_image_url,caption,is_oasc,gcs_url,object_number,is_highlight,is_public_domain,department,object_name,obj_title,culture,period,dynasty,reign,portfolio,artist_role,artist_prefix,artist_display_name,artist_display_bio,artist_suffix,artist_alpha_sort,artist_nationality,artist_begin_date,artist_end_date,object_date,object_begin_date,object_end_date,medium,dimensions,credit_line,geography_type,city,state,county,country,region,subregion,locale,locus,excavation,river,classification,rights_and_reproduction,link_resource,metadata_date,repository
70092,,,http://images.metmuseum.org/CRDImages/as/original/115722.jpg,,TRUE,gs://gcs-public-data--met/70092/0.jpg,54.105.1,FALSE,TRUE,Asian Art,Square,,Japan,,,,,,,,,,,,,,20th century,1900,1999,Silk,29 1/2 x 27 in. (74.93 x 68.58 cm),"Rogers Fund, 1954",,,,,,,,,,,,Textiles-Painted and Printed,,http://www.metmuseum.org/art/collection/search/70092,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
504223,,,http://images.metmuseum.org/CRDImages/mi/original/234947.jpg,,TRUE,gs://gcs-public-data--met/504223/0.jpg,Inst.1983.4.2,FALSE,TRUE,Musical Instruments,Portrait of the Daughter(?) of Emilius Nicolai Scherr,Portrait of the Daughter(?) of Emilius Nicolai Scherr,American,,,,,,,,,,,,,,ca. 1863,1863,1863,Watercolor (miniature),Overall: 11 x 8.5cm (4 5/16 x 3 3/8in.),"Gift of Mildred Pierce, 1983",,,,,United States,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/504223,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
51501,,,http://images.metmuseum.org/CRDImages/as/original/DP154414.jpg,,TRUE,gs://gcs-public-data--met/51501/0.jpg,13.220.99h,FALSE,TRUE,Asian Art,Album leaf,,China,Qing dynasty (1644â€“1911),,,,Artist,,Unidentified Artist,,,Unidentified Artist,,,,,1644,1911,Album leaf; ink and color on silk,9 1/2 x 11 1/2 in. (24.1 x 29.2 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/51501,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
51851,,,http://images.metmuseum.org/CRDImages/as/original/DP156923.jpg,,TRUE,gs://gcs-public-data--met/51851/2.jpg,62.103,FALSE,TRUE,Asian Art,Album,,China,Qing dynasty (1644â€“1911),,,,Artist,,Unidentified Artist,,"Chinese, 19th century",Unidentified Artist,,,,19th century,1800,1899,Album of twelve leaves; ink and color on pith paper,Image (album): 8 3/4 Ã— 13 1/4 in. (22.2 Ã— 33.7 cm) Overall (album): 9 3/4 Ã— 14 5/8 Ã— 1/2 in. (24.8 Ã— 37.1 Ã— 1.3 cm),"Gift of Mrs. Mary E. Cornell, 1962",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/51851,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
75165,,,http://images.metmuseum.org/CRDImages/as/original/DP205588.jpg,,TRUE,gs://gcs-public-data--met/75165/0.jpg,52.160.6k,FALSE,TRUE,Asian Art,Fan mounted as an album leaf,,Japan,Meiji period (1868â€“1912),,,,Artist,,Shibata Zeshin,"Japanese, 1807â€“1891",,Shibata Zeshin,Japanese,1807,1891,late 19th century,1867,1891,Fan painting mounted as album leaf; tempera on paper,Overall: 13 x 23 5/8 in. (33 x 60 cm) Image: 7 1/2 x 20 1/2 in. (19.1 x 52.1 cm),"Purchase, Gifts, Bequests, and Funds from various donors, by exchange, 1952",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/75165,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
54703,,,http://images.metmuseum.org/CRDImages/as/original/DP211848.jpg,,TRUE,gs://gcs-public-data--met/54703/0.jpg,14.76.61.60,FALSE,TRUE,Asian Art,Album leaf,,Japan,Meiji period (1868â€“1912),,,,Artist,,Watanabe Seitei,"Japanese, 1851â€“1918",,Watanabe Seitei,Japanese,1851,1918,ca. 1887,1877,1897,Album leaf; ink and color on silk,14 x 10 3/4 in. (35.6 x 27.3 cm),"Charles Stewart Smith Collection, Gift of Mrs. Charles Stewart Smith, Charles Stewart Smith Jr., and Howard Caswell Smith, in memory of Charles Stewart Smith, 1914",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/54703,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
53424,,,http://images.metmuseum.org/CRDImages/as/original/DP-12232-081.jpg,,TRUE,gs://gcs-public-data--met/53424/1.jpg,2015.300.95,FALSE,TRUE,Asian Art,Hanging scroll,,Japan,Edo period (1615â€“1868),,,,Artist,,Suzuki Kiitsu,"Japanese, 1796â€“1858",,Suzuki Kiitsu,,1796,1858,ca. 1805,1720,1920,Hanging scroll; ink and color on silk,Image: 39 7/8 Ã— 12 15/16 in. (101.3 Ã— 32.8 cm) Overall with mounting: 77 3/16 Ã— 18 3/8 in. (196 Ã— 46.6 cm) Overall with knobs: 77 3/16 Ã— 20 9/16 in. (196 Ã— 52.2 cm),"Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/53424,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
51701,,,http://images.metmuseum.org/CRDImages/as/original/DP202455_CRD.jpg,,TRUE,gs://gcs-public-data--met/51701/0.jpg,47.18.89,FALSE,TRUE,Asian Art,Handscroll,,China,Qing dynasty (1644â€“1911),,,,Artist|Artist,After,Unidentified Artist|Xia Gui,"Chinese, active ca. 1195â€“1230",,Unidentified Artist|Xia Gui,Chinese,1195,1230,,1644,1911,Handscroll; ink on silk,14 3/8 x 69 3/4 in. (36.5 x 177.2 cm),"From the Collection of A. W. Bahr, Purchase, Fletcher Fund, 1947",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/51701,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
436449,,,http://images.metmuseum.org/CRDImages/ep/original/DT1952.jpg,Overall,TRUE,gs://gcs-public-data--met/436449/0.jpg,1993.400.3,FALSE,TRUE,European Paintings,Painting,The Siesta,,,,,,Artist,,Paul Gauguin,"French, Paris 1848â€“1903 Atuona, Hiva Oa, Marquesas Islands",,"Gauguin, Paul",French,1848,1903,ca. 1892â€“94,1892,1894,Oil on canvas,35 x 45 3/4 in. (88.9 x 116.2 cm),"The Walter H. and Leonore Annenberg Collection, Gift of Walter H. and Leonore Annenberg, 1993, Bequest of Walter H. Annenberg, 2002",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/436449,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
436407,,,http://images.metmuseum.org/CRDImages/ep/original/ep48.187.735.bw.R.jpg,Overall,TRUE,gs://gcs-public-data--met/436407/0.jpg,48.187.735,FALSE,TRUE,European Paintings,Painting,Portrait of a Man in a Blue Coat,,,,,,Artist,,French Painter,early 19th century,,French Painter,French,,,,1800,1829,Oil on canvas,24 1/4 x 19 5/8 in. (61.5 x 49.8 cm),"Bequest of Catherine D. Wentworth, 1948",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/436407,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
78056,with mounting,,http://images.metmuseum.org/CRDImages/as/original/DP700740.jpg,overall,TRUE,gs://gcs-public-data--met/78056/1.jpg,2015.500.9.19,FALSE,TRUE,Asian Art,Hanging scroll,,Japan,Edo period (1615â€“1868),,,,Calligrapher|Artist,,Kameda BÅsai|Sakai HÅitsu,"Japanese, 1752â€“1826|Japanese, 1761â€“1828",,Kameda BÅsai|Sakai HÅitsu,,1752      |1761,1826      |1828,ca. 1821,1821,1821,Hanging scroll; ink on paper,Image: 44 3/8 Ã— 14 3/4 in. (112.7 Ã— 37.5 cm) Overall with mounting: 68 1/4 Ã— 14 3/4 in. (173.4 Ã— 37.5 cm) Overall with knobs: 16 7/8 in. (42.9 cm),"Gift of Florence and Herbert Irving, 2015",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/78056,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
51405,,,http://images.metmuseum.org/CRDImages/as/original/DP154538.jpg,,TRUE,gs://gcs-public-data--met/51405/0.jpg,13.100.128,FALSE,TRUE,Asian Art,Fan mounted as an album leaf,,China,Qing dynasty (1644â€“1911),,,,Artist,,Unidentified Artist,,,Unidentified Artist,,,,,1644,1911,Fan mounted as an album leaf; ink and color on silk,10 1/2 x 9 3/8 in. (26.7 x 23.8 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/51405,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
54184,,,http://images.metmuseum.org/CRDImages/as/original/DP156134.jpg,,TRUE,gs://gcs-public-data--met/54184/0.jpg,2001.747,FALSE,TRUE,Asian Art,Painting,,"Western India, Rajasthan, Kota",,,,,,,,,,,,,,ca. 1825,1815,1835,Ink and opaque watercolor on cloth,9 7/8 x 7 3/4 in. (25.1 x 19.7 cm),"Friends of Asian Art, Purchase, Mr. and Mrs. Andrew Saul Gift, by exchange, 2001",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/54184,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
